iter	RMSE
0	0.172538565
1	0.1596160433
2	0.1481439768
3	0.1374540756
4	0.1289744544
5	0.1197066418
6	0.1120503355
7	0.1045505125
8	0.09748876156
9	0.09225332232
10	0.08605523544
11	0.08044076806
12	0.07524643509
13	0.07058376248
14	0.06640226138
15	0.06239219264
16	0.05895485864
17	0.05513044807
18	0.05189309886
19	0.0492285743
20	0.04642754458
21	0.04408804785
22	0.0419134502
23	0.04030546096
24	0.03861554837
25	0.0367565435
26	0.03506141667
27	0.03349819638
28	0.0322746976
29	0.03096907469
30	0.02991389032
31	0.02851014558
32	0.02721268223
33	0.02607404194
34	0.02509820444
35	0.02398754321
36	0.02311128329
37	0.02216348734
38	0.02151651267
39	0.02076670695
40	0.02006787809
41	0.01928986441
42	0.01870454588
43	0.01797611775
44	0.01745305001
45	0.0170640859
46	0.01661144768
47	0.01609195873
48	0.01544609876
49	0.0150898717
50	0.01456099871
51	0.01431379858
52	0.01400099946
53	0.01375230988
54	0.01342192995
55	0.01310533363
56	0.01276046607
57	0.0123984084
58	0.01216130557
59	0.0119200325
60	0.01172173336
61	0.01148007287
62	0.01131729628
63	0.01111435255
64	0.01092185936
65	0.01075000441
66	0.0105676948
67	0.01040635857
68	0.01023794818
69	0.01010015731
70	0.009965667984
71	0.009841656024
72	0.00971209594
73	0.009582538749
74	0.009407426935
75	0.009321206506
76	0.009184537456
77	0.009101165996
78	0.009032579431
79	0.008920222291
80	0.008835400592
81	0.008735352107
82	0.008680903407
83	0.008575920017
84	0.008417595436
85	0.008372046538
86	0.008305483696
87	0.00822081686
88	0.008149355907
89	0.008036609243
90	0.007980877488
91	0.007885785529
92	0.007790105218
93	0.007717274953
94	0.007645508607
95	0.007567157946
96	0.007517480667
97	0.007462927035
98	0.007385921171
99	0.007321894237
100	0.007201226622
101	0.007159143333
102	0.007100296109
103	0.007031392244
104	0.0069828059
105	0.006896615892
106	0.006842746229
107	0.006786236907
108	0.006714461895
109	0.006669408928
110	0.006635833647
111	0.006558010603
112	0.006491988356
113	0.006411353346
114	0.006362401186
115	0.006291096575
116	0.006249932374
117	0.006204470454
118	0.006161532655
119	0.00611037174
120	0.006048560697
121	0.006013677429
122	0.005966495095
123	0.005932588833
124	0.005879067769
125	0.005851266422
126	0.005799889253
127	0.005757243784
128	0.005689821153
129	0.005661757218
130	0.005596326102
131	0.005567197374
132	0.005526250216
133	0.005490190421
134	0.005442832124
135	0.005410415784
136	0.005377673095
137	0.005355092781
138	0.005328179784
139	0.005295505704
140	0.005260660315
141	0.005216515202
142	0.005178035595
143	0.005158193154
144	0.005085352907
145	0.005049111087
146	0.005023947818
147	0.005003032088
148	0.004962440284
149	0.004930666558
150	0.004899244809
151	0.004854931406
152	0.00483054532
153	0.004805206831
154	0.004770357721
155	0.004747984334
156	0.004723497039
157	0.004698238265
158	0.004678276229
159	0.004652771287
160	0.004623115901
161	0.004575592924
162	0.004549161285
163	0.004518140344
164	0.004499029907
165	0.004476194412
166	0.004448911237
167	0.004430296854
168	0.004415915021
169	0.004400968151
170	0.004382098757
171	0.004355504131
172	0.004333052968
173	0.004301112661
174	0.00428572396
175	0.00425344978
176	0.00424044718
177	0.004226781948
178	0.004193636589
179	0.004175982333
180	0.004147553284
181	0.004126416708
182	0.004109265569
183	0.004094419413
184	0.004075586421
185	0.004056117305
186	0.004041874835
187	0.004027094867
188	0.003994826103
189	0.00396716252
190	0.003955792386
191	0.003931795325
192	0.003910223556
193	0.003898734143
194	0.00388339628
195	0.003863070641
196	0.003847750904
197	0.003831559671
198	0.003822253063
199	0.003805692198
200	0.003790868066
201	0.003776935914
202	0.003768164487
203	0.003742555186
204	0.003730330729
205	0.003718993757
206	0.003705365792
207	0.003694441299
208	0.003679791679
209	0.003645231512
210	0.00363484179
211	0.003623413973
212	0.003614014542
213	0.003591494905
214	0.003580078754
215	0.003570882275
216	0.003560994675
217	0.00354897843
218	0.003539260137
219	0.00352186704
220	0.003506592517
221	0.003496274802
222	0.003489525377
223	0.003480012444
224	0.003467700448
225	0.00344775875
226	0.003427101844
227	0.003415463886
228	0.003407475658
229	0.003379819483
230	0.003373033596
231	0.003361640211
232	0.003350969812
233	0.003339240793
